date;valuation;cashIn;cashOut
2017-12-20;391 442,51;0,00;0,00
2017-12-21;392 074,31;0,00;0,00
2017-12-22;891 129,91;500 000,00;0,00
2017-12-23;889 663,51;0,00;0,00
2017-12-24;889 663,51;0,00;0,00
2017-12-25;1 391 785,78;500 000,00;0,00
2017-12-26;1 389 227,18;0,00;0,00
2017-12-27;1 379 005,98;0,00;0,00
2017-12-28;1 372 848,18;0,00;0,00
2017-12-29;1 377 078,40;0,00;0,00
2017-12-30;1 376 442,60;0,00;0,00
2017-12-31;1 376 442,60;0,00;0,00
2018-01-01;1 376 442,60;0,00;0,00
2018-01-02;1 376 442,60;0,00;0,00
2018-01-03;1 376 442,60;0,00;0,00
2018-01-04;1 376 442,60;0,00;0,00
2018-01-05;1 376 442,60;0,00;0,00
2018-01-06;1 376 442,60;0,00;0,00
2018-01-07;1 376 442,60;0,00;0,00
2018-01-08;1 376 442,60;0,00;0,00
2018-01-09;1 376 442,60;0,00;0,00
2018-01-10;1 364 256,80;0,00;0,00
2018-01-11;1 360 453,00;0,00;0,00
2018-01-12;1 363 143,60;0,00;0,00
2018-01-13;1 354 480,00;0,00;0,00
2018-01-14;1 354 480,00;0,00;0,00
2018-01-15;1 354 480,00;0,00;0,00
2018-01-16;1 349 090,00;0,00;0,00
2018-01-17;1 349 769,80;0,00;0,00
2018-01-18;1 354 273,20;0,00;0,00
2018-01-19;1 357 951,60;0,00;0,00
2018-01-20;1 354 200,60;0,00;0,00
2018-01-21;1 354 200,60;0,00;0,00
2018-01-22;1 354 200,60;0,00;0,00
2018-01-23;1 355 012,40;0,00;0,00
2018-01-24;1 350 291,20;0,00;0,00
2018-01-25;1 349 791,80;0,00;0,00
2018-01-26;1 339 671,80;0,00;0,00
2018-01-27;1 337 471,80;0,00;0,00
2018-01-28;1 337 471,80;0,00;0,00
2018-01-29;1 337 471,80;0,00;0,00
2018-01-30;1 347 635,80;0,00;0,00
2018-01-31;1 347 784,58;0,00;0,00
2018-02-01;1 345 421,78;0,00;0,00
2018-02-02;1 347 122,38;0,00;0,00
2018-02-03;1 342 271,38;0,00;0,00
2018-02-04;1 342 271,38;0,00;0,00
2018-02-05;1 342 271,38;0,00;0,00
2018-02-06;1 355 185,38;0,00;0,00
2018-02-07;1 368 204,98;0,00;0,00
2018-02-08;1 362 346,38;0,00;0,00
2018-02-09;1 378 192,98;0,00;0,00
2018-02-10;1 389 153,38;0,00;0,00
2018-02-11;1 389 153,38;0,00;0,00
2018-02-12;1 389 153,38;0,00;0,00
2018-02-13;1 385 749,98;0,00;0,00
2018-02-14;1 380 315,98;0,00;0,00
2018-02-15;1 376 351,58;0,00;0,00
2018-02-16;1 354 393,38;0,00;0,00
2018-02-17;1 349 192,58;0,00;0,00
2018-02-18;1 349 192,58;0,00;0,00
2018-02-19;1 349 192,58;0,00;0,00
2018-02-20;1 348 937,38;0,00;0,00
2018-02-21;1 352 815,98;0,00;0,00
2018-02-22;1 355 755,18;0,00;0,00
2018-02-23;1 358 111,38;0,00;0,00
2018-02-24;1 358 111,38;0,00;0,00
2018-02-25;1 358 111,38;0,00;0,00
2018-02-26;1 358 111,38;0,00;0,00
2018-02-27;1 339 631,38;0,00;0,00
2018-02-28;1 334 251,95;0,00;0,00
2018-03-01;1 349 706,95;0,00;0,00
2018-03-02;1 351 009,35;0,00;0,00
2018-03-03;1 356 029,75;0,00;0,00
2018-03-04;1 356 029,75;0,00;0,00
2018-03-05;1 356 029,75;0,00;0,00
2018-03-06;1 365 674,55;0,00;0,00
2018-03-07;1 352 564,75;0,00;0,00
2018-03-08;1 359 098,75;0,00;0,00
2018-03-09;1 359 098,75;0,00;0,00
2018-03-10;1 359 098,75;0,00;0,00
2018-03-11;1 359 098,75;0,00;0,00
2018-03-12;1 359 098,75;0,00;0,00
2018-03-13;1 354 942,95;0,00;0,00
2018-03-14;1 362 064,35;0,00;0,00
2018-03-15;1 362 092,95;0,00;0,00
2018-03-16;1 363 888,15;0,00;0,00
2018-03-17;1 374 346,95;0,00;0,00
2018-03-18;1 374 346,95;0,00;0,00
2018-03-19;1 365 730,95;0,00;0,00
2018-03-20;1 366 919,54;0,00;0,00
2018-03-21;1 387 431,94;0,00;0,00
2018-03-22;1 377 712,14;0,00;0,00
2018-03-23;1 372 394,54;0,00;0,00
2018-03-24;1 378 292,74;0,00;0,00
2018-03-25;1 378 292,74;0,00;0,00
2018-03-26;1 388 049,74;0,00;0,00
2018-03-27;1 374 300,14;0,00;0,00
2018-03-28;1 365 951,74;0,00;0,00
2018-03-29;1 373 273,94;0,00;0,00
2018-03-30;1 376 654,77;0,00;0,00
2018-03-31;1 365 705,37;0,00;0,00
2018-04-01;1 365 705,37;0,00;0,00
2018-04-02;1 381 827,37;0,00;0,00
2018-04-03;1 372 476,57;0,00;0,00
2018-04-04;1 373 428,57;0,00;0,00
2018-04-05;1 379 578,77;0,00;0,00
2018-04-06;1 377 249,77;0,00;0,00
2018-04-07;1 382 828,97;0,00;0,00
2018-04-08;1 382 828,97;0,00;0,00
2018-04-09;1 387 037,97;0,00;0,00
2018-04-10;1 410 812,70;0,00;0,00
2018-04-11;1 512 245,70;0,00;0,00
2018-04-12;1 530 311,06;0,00;0,00
2018-04-13;1 493 835,66;0,00;0,00
2018-04-14;1 479 870,06;0,00;0,00
2018-04-15;1 479 870,06;0,00;0,00
2018-04-16;1 482 983,06;0,00;0,00
2018-04-17;1 504 106,66;0,00;0,00
2018-04-18;1 508 478,66;0,00;0,00
2018-04-19;1 514 423,66;0,00;0,00
2018-04-20;1 501 575,46;0,00;0,00
2018-04-21;1 511 781,26;0,00;0,00
2018-04-22;1 511 781,26;0,00;0,00
2018-04-23;1 479 026,26;0,00;0,00
2018-04-24;1 490 626,86;0,00;0,00
2018-04-25;1 477 806,62;0,00;0,00
2018-04-26;1 474 653,57;0,00;0,00
2018-04-27;1 493 422,66;0,00;0,00
2018-04-28;1 500 483,23;0,00;0,00
2018-04-29;1 484 504,63;0,00;0,00
2018-04-30;1 469 888,45;0,00;0,00
2018-05-01;1 469 880,20;0,00;0,00
2018-05-02;1 474 982,74;0,00;0,00
2018-05-03;1 476 883,45;0,00;0,00
2018-05-04;1 510 194,79;0,00;0,00
2018-05-05;1 503 929,19;0,00;0,00
2018-05-06;1 503 929,19;0,00;0,00
2018-05-07;1 506 434,10;0,00;0,00
2018-05-08;1 491 276,38;0,00;0,00
2018-05-09;1 497 689,05;0,00;0,00
2018-05-10;1 513 145,05;0,00;0,00
2018-05-11;1 505 594,65;0,00;0,00
2018-05-12;1 488 269,65;0,00;0,00
2018-05-13;1 488 269,65;0,00;0,00
2018-05-14;1 483 945,65;0,00;0,00
2018-05-15;1 461 518,25;0,00;0,00
2018-05-16;1 465 385,62;0,00;0,00
2018-05-17;1 484 415,04;0,00;0,00
2018-05-18;1 471 299,31;0,00;0,00
2018-05-19;1 473 923,91;0,00;0,00
2018-05-20;1 473 923,91;0,00;0,00
2018-05-21;1 477 009,76;0,00;0,00
2018-05-22;1 495 527,28;0,00;0,00
2018-05-23;1 457 686,29;0,00;0,00
2018-05-24;1 477 944,97;0,00;0,00
2018-05-25;1 469 505,23;0,00;0,00
2018-05-26;1 475 157,03;0,00;0,00
2018-05-27;1 475 157,03;0,00;0,00
2018-05-28;1 469 538,24;0,00;0,00
2018-05-29;1 479 090,00;0,00;0,00
2018-05-30;1 490 983,45;0,00;0,00
2018-05-31;1 492 372,45;0,00;0,00
2018-06-01;1 477 224,41;0,00;0,00
2018-06-02;1 481 334,01;0,00;0,00
2018-06-03;1 481 334,01;0,00;0,00
2018-06-04;1 480 089,57;0,00;0,00
2018-06-05;1 477 114,06;0,00;0,00
2018-06-06;1 491 297,46;0,00;0,00
2018-06-07;1 503 017,86;0,00;0,00
2018-06-08;1 490 630,06;0,00;0,00
2018-06-09;1 510 076,06;0,00;0,00
2018-06-10;1 502 928,26;0,00;0,00
2018-06-11;1 502 214,26;0,00;0,00
2018-06-12;1 502 214,26;0,00;0,00
2018-06-13;1 502 214,26;0,00;0,00
2018-06-14;1 519 226,86;0,00;0,00
2018-06-15;1 500 190,26;0,00;0,00
2018-06-16;1 509 738,26;0,00;0,00
2018-06-17;1 509 738,26;0,00;0,00
2018-06-18;1 509 738,26;0,00;0,00
2018-06-19;1 527 309,66;0,00;0,00
2018-06-20;1 540 168,66;0,00;0,00
2018-06-21;1 530 251,06;0,00;0,00
2018-06-22;1 533 986,66;0,00;0,00
2018-06-23;1 521 937,26;0,00;0,00
2018-06-24;1 521 937,26;0,00;0,00
2018-06-25;1 521 937,26;0,00;0,00
2018-06-26;1 515 559,46;0,00;0,00
2018-06-27;1 512 063,66;0,00;0,00
2018-06-28;1 519 655,86;0,00;0,00
2018-06-29;1 523 186,71;0,00;0,00
2018-06-30;1 511 427,71;0,00;0,00
2018-07-01;1 511 427,71;0,00;0,00
2018-07-02;1 511 427,71;0,00;0,00
2018-07-03;1 519 851,51;0,00;0,00
2018-07-04;1 521 611,51;0,00;0,00
2018-07-05;1 521 772,11;0,00;0,00
2018-07-06;1 522 513,51;0,00;0,00
2018-07-07;1 519 459,91;0,00;0,00
2018-07-08;1 519 459,91;0,00;0,00
2018-07-09;1 519 459,91;0,00;0,00
2018-07-10;1 513 128,31;0,00;0,00
2018-07-11;1 504 557,11;0,00;0,00
2018-07-12;1 496 940,71;0,00;0,00
2018-07-13;1 499 321,11;0,00;0,00
2018-07-14;1 501 239,51;0,00;0,00
2018-07-15;1 501 239,51;0,00;0,00
2018-07-16;1 501 239,51;0,00;0,00
2018-07-17;1 500 407,91;0,00;0,00
2018-07-18;1 504 359,11;0,00;0,00
2018-07-19;1 514 597,91;0,00;0,00
2018-07-20;1 522 825,91;0,00;0,00
2018-07-21;1 527 538,31;0,00;0,00
2018-07-22;1 527 538,31;0,00;0,00
2018-07-23;1 527 538,31;0,00;0,00
2018-07-24;1 521 090,11;0,00;0,00
2018-07-25;1 515 101,71;0,00;0,00
2018-07-26;1 518 623,91;0,00;0,00
2018-07-27;1 515 620,91;0,00;0,00
2018-07-28;1 516 181,91;0,00;0,00
2018-07-29;1 516 181,91;0,00;0,00
2018-07-30;1 516 181,91;0,00;0,00
2018-07-31;1 512 128,38;0,00;0,00
2018-08-01;1 502 650,78;0,00;0,00
2018-08-02;1 507 255,38;0,00;0,00
2018-08-03;1 519 944,98;0,00;0,00
2018-08-04;1 526 965,18;0,00;0,00
2018-08-05;1 526 965,18;0,00;0,00
2018-08-06;1 524 972,18;0,00;0,00
2018-08-07;1 529 081,38;0,00;0,00
2018-08-08;1 528 777,38;0,00;0,00
2018-08-09;1 533 246,38;0,00;0,00
2018-08-10;1 586 357,58;0,00;0,00
2018-08-11;1 600 039,38;0,00;0,00
2018-08-12;1 600 039,38;0,00;0,00
2018-08-13;1 581 043,67;0,00;0,00
2018-08-14;1 609 322,78;0,00;0,00
2018-08-15;1 532 993,57;0,00;0,00
2018-08-16;1 546 724,22;0,00;0,00
2018-08-17;1 553 305,30;0,00;0,00
2018-08-18;1 552 920,30;0,00;0,00
2018-08-19;1 552 920,30;0,00;0,00
2018-08-20;1 552 904,80;0,00;0,00
2018-08-21;1 562 969,43;0,00;0,00
2018-08-22;1 562 901,96;0,00;0,00
2018-08-23;1 560 939,53;0,00;0,00
2018-08-24;1 597 111,83;0,00;0,00
2018-08-25;1 580 946,23;0,00;0,00
2018-08-26;1 580 946,23;0,00;0,00
2018-08-27;1 584 293,74;0,00;0,00
2018-08-28;1 573 566,45;0,00;0,00
2018-08-29;1 563 189,80;0,00;0,00
2018-08-30;1 570 883,97;0,00;0,00
2018-08-31;1 567 472,33;0,00;0,00
2018-09-01;1 566 649,53;0,00;0,00
2018-09-02;1 566 649,53;0,00;0,00
2018-09-03;1 563 223,64;0,00;0,00
2018-09-04;1 528 663,48;0,00;0,00
2018-09-05;1 543 389,45;0,00;0,00
2018-09-06;1 543 930,25;0,00;0,00
2018-09-07;1 551 230,85;0,00;0,00
2018-09-08;1 565 236,65;0,00;0,00
2018-09-09;1 565 236,65;0,00;0,00
2018-09-10;1 561 012,65;0,00;0,00
2018-09-11;1 558 028,85;0,00;0,00
2018-09-12;1 580 559,05;0,00;0,00
2018-09-13;1 574 700,25;0,00;0,00
2018-09-14;1 546 993,85;0,00;0,00
2018-09-15;1 540 614,65;0,00;0,00
2018-09-16;1 540 614,65;0,00;0,00
2018-09-17;1 547 416,65;0,00;0,00
2018-09-18;1 541 497,69;0,00;0,00
2018-09-19;1 549 541,49;0,00;0,00
2018-09-20;1 530 867,69;0,00;0,00
2018-09-21;1 531 846,29;0,00;0,00
2018-09-22;1 527 835,89;0,00;0,00
2018-09-23;1 527 835,89;0,00;0,00
2018-09-24;1 531 787,89;0,00;0,00
2018-09-25;1 548 588,49;0,00;0,00
